epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,68.4919,1.64699,1.75295,1.73031,0.7155,0.5846,0.62714,0.31055,1.69971,1.8382,1.82555,0.00100917,0.00100917,0.00100917
89,69.0662,1.63075,1.75897,1.70608,0.68671,0.59484,0.63313,0.30156,1.78559,1.86552,1.86291,0.000996456,0.000996456,0.000996456
90,69.6665,1.56848,1.60554,1.62772,0.68671,0.59484,0.63313,0.30156,1.78559,1.86552,1.86291,0.000983705,0.000983705,0.000983705
91,70.2551,1.71765,1.64368,1.68173,0.56413,0.53014,0.5575,0.21763,2.07396,2.07007,2.06451,0.000970919,0.000970919,0.000970919
92,70.9702,1.67663,1.66823,1.69545,0.53463,0.53883,0.52335,0.19924,2.03053,2.04429,2.02755,0.000958102,0.000958102,0.000958102
93,71.5259,1.65621,1.70261,1.66789,0.53463,0.53883,0.52335,0.19924,2.03053,2.04429,2.02755,0.000945256,0.000945256,0.000945256
94,72.1026,1.60954,1.65646,1.66493,0.61934,0.59819,0.60124,0.26234,1.81046,1.88559,1.87554,0.000932384,0.000932384,0.000932384
95,72.6767,1.65604,1.65058,1.70375,0.65553,0.64057,0.62282,0.30279,1.73986,1.80653,1.81789,0.00091949,0.00091949,0.00091949
96,73.2337,1.61435,1.65515,1.67322,0.65553,0.64057,0.62282,0.30279,1.73986,1.80653,1.81789,0.000906577,0.000906577,0.000906577
97,73.8112,1.63266,1.65965,1.68884,0.72043,0.64884,0.65653,0.3024,1.81893,1.81806,1.86105,0.000893648,0.000893648,0.000893648
98,74.3543,1.57636,1.56573,1.64675,0.72043,0.64884,0.65653,0.3024,1.81893,1.81806,1.86105,0.000880706,0.000880706,0.000880706
99,74.9218,1.59766,1.53684,1.66036,0.76682,0.6193,0.65482,0.28993,1.85379,1.79471,1.87593,0.000867754,0.000867754,0.000867754
100,75.5762,1.57673,1.52815,1.64233,0.80773,0.58982,0.66739,0.31077,1.75508,1.75097,1.81699,0.000854796,0.000854796,0.000854796
101,76.1322,1.55774,1.48855,1.56659,0.80773,0.58982,0.66739,0.31077,1.75508,1.75097,1.81699,0.000841835,0.000841835,0.000841835
102,76.8618,1.5751,1.60843,1.6511,0.7836,0.58329,0.66406,0.32195,1.76964,1.74925,1.85166,0.000828874,0.000828874,0.000828874
103,77.4283,1.59629,1.59419,1.6775,0.76234,0.5747,0.66418,0.32884,1.73797,1.7597,1.81365,0.000815916,0.000815916,0.000815916
104,77.9745,1.66014,1.6157,1.63848,0.76234,0.5747,0.66418,0.32884,1.73797,1.7597,1.81365,0.000802964,0.000802964,0.000802964
105,78.5353,1.57831,1.55917,1.67667,0.76595,0.5747,0.64805,0.30048,1.75925,1.80675,1.80898,0.000790022,0.000790022,0.000790022
106,79.0987,1.53127,1.54827,1.61146,0.76595,0.5747,0.64805,0.30048,1.75925,1.80675,1.80898,0.000777093,0.000777093,0.000777093
107,79.7197,1.56297,1.55938,1.60277,0.82295,0.57002,0.64663,0.2986,1.86024,1.79752,1.86617,0.00076418,0.00076418,0.00076418
108,80.2891,1.54426,1.45792,1.59047,0.73256,0.61827,0.65652,0.31723,1.77151,1.74171,1.80747,0.000751286,0.000751286,0.000751286
109,80.8411,1.4953,1.40311,1.57297,0.73256,0.61827,0.65652,0.31723,1.77151,1.74171,1.80747,0.000738414,0.000738414,0.000738414
110,81.4155,1.46416,1.44031,1.56108,0.68381,0.64342,0.66419,0.3301,1.66537,1.70511,1.74922,0.000725568,0.000725568,0.000725568
111,82.1519,1.53195,1.52822,1.57087,0.71245,0.63278,0.67235,0.31689,1.70701,1.68047,1.79112,0.000712751,0.000712751,0.000712751
112,82.696,1.48404,1.43746,1.55568,0.71245,0.63278,0.67235,0.31689,1.70701,1.68047,1.79112,0.000699965,0.000699965,0.000699965
113,83.253,1.47178,1.46235,1.56058,0.8005,0.63652,0.68975,0.31859,1.77339,1.70505,1.83052,0.000687214,0.000687214,0.000687214
114,83.8115,1.46494,1.424,1.57198,0.8005,0.63652,0.68975,0.31859,1.77339,1.70505,1.83052,0.000674502,0.000674502,0.000674502
115,84.3779,1.49251,1.39901,1.53134,0.82183,0.62167,0.68814,0.32138,1.7987,1.71329,1.85565,0.000661831,0.000661831,0.000661831
116,84.9366,1.49227,1.38442,1.5679,0.73732,0.65875,0.7157,0.34241,1.7431,1.66788,1.80275,0.000649204,0.000649204,0.000649204
117,85.5712,1.51833,1.41443,1.57782,0.73732,0.65875,0.7157,0.34241,1.7431,1.66788,1.80275,0.000636625,0.000636625,0.000636625
118,86.1474,1.46506,1.44816,1.55388,0.75645,0.66249,0.74593,0.39936,1.5928,1.60462,1.71665,0.000624096,0.000624096,0.000624096
119,86.7093,1.40788,1.34341,1.51214,0.78964,0.65809,0.72949,0.39329,1.58891,1.61248,1.71676,0.000611621,0.000611621,0.000611621
120,87.2536,1.50617,1.38348,1.55443,0.78964,0.65809,0.72949,0.39329,1.58891,1.61248,1.71676,0.000599203,0.000599203,0.000599203
121,87.9744,1.49176,1.36563,1.52699,0.78716,0.6852,0.72356,0.38028,1.62413,1.61428,1.72865,0.000586845,0.000586845,0.000586845
122,88.5177,1.45484,1.34314,1.52844,0.78716,0.6852,0.72356,0.38028,1.62413,1.61428,1.72865,0.00057455,0.00057455,0.00057455
123,89.0781,1.43562,1.44547,1.51618,0.80591,0.6934,0.71891,0.3689,1.66472,1.62748,1.75272,0.00056232,0.00056232,0.00056232
124,90.8073,1.43027,1.3501,1.54146,0.80944,0.70946,0.72737,0.35344,1.75594,1.64652,1.82291,0.00055016,0.00055016,0.00055016
125,91.3608,1.36775,1.28748,1.46141,0.80944,0.70946,0.72737,0.35344,1.75594,1.64652,1.82291,0.000538072,0.000538072,0.000538072
126,91.9427,1.41281,1.32081,1.4892,0.77374,0.71121,0.73562,0.35192,1.79275,1.67323,1.86215,0.000526058,0.000526058,0.000526058
127,92.5057,1.41076,1.31936,1.51839,0.83153,0.69542,0.74225,0.36615,1.73241,1.61752,1.80975,0.000514122,0.000514122,0.000514122
128,93.061,1.37993,1.29148,1.46385,0.83153,0.69542,0.74225,0.36615,1.73241,1.61752,1.80975,0.000502268,0.000502268,0.000502268
129,93.6194,1.42636,1.33468,1.55119,0.80337,0.69956,0.73983,0.37753,1.65028,1.57932,1.75336,0.000490497,0.000490497,0.000490497
130,94.1709,1.41009,1.30492,1.47596,0.80337,0.69956,0.73983,0.37753,1.65028,1.57932,1.75336,0.000478813,0.000478813,0.000478813
131,94.8841,1.4386,1.31253,1.53024,0.84054,0.66588,0.733,0.41561,1.55282,1.55428,1.68596,0.000467218,0.000467218,0.000467218
132,95.4835,1.41317,1.34325,1.53378,0.85196,0.68724,0.74001,0.4192,1.55084,1.53445,1.68092,0.000455716,0.000455716,0.000455716
133,96.0333,1.42848,1.37436,1.56177,0.85196,0.68724,0.74001,0.4192,1.55084,1.53445,1.68092,0.000444309,0.000444309,0.000444309
134,96.6013,1.38937,1.26246,1.51111,0.80178,0.69835,0.74326,0.40106,1.64848,1.55294,1.7402,0.000433,0.000433,0.000433
135,97.1666,1.37631,1.2954,1.47767,0.80653,0.70233,0.74583,0.38469,1.70621,1.56225,1.77403,0.000421792,0.000421792,0.000421792
136,97.7186,1.42854,1.28709,1.52982,0.80653,0.70233,0.74583,0.38469,1.70621,1.56225,1.77403,0.000410687,0.000410687,0.000410687
137,98.2948,1.40294,1.31016,1.49681,0.81288,0.71425,0.74634,0.39411,1.66522,1.52986,1.73605,0.000399689,0.000399689,0.000399689
138,98.8493,1.37865,1.30065,1.47353,0.81288,0.71425,0.74634,0.39411,1.66522,1.52986,1.73605,0.000388801,0.000388801,0.000388801
139,99.4242,1.40399,1.29601,1.54105,0.82439,0.71764,0.74527,0.40125,1.61237,1.50097,1.69689,0.000378023,0.000378023,0.000378023
140,100.164,1.27949,1.18434,1.40185,0.83848,0.70738,0.75451,0.41159,1.55055,1.48215,1.66353,0.000367361,0.000367361,0.000367361
141,101.854,1.36293,1.26964,1.48168,0.83848,0.70738,0.75451,0.41159,1.55055,1.48215,1.66353,0.000356815,0.000356815,0.000356815
142,102.421,1.29812,1.22767,1.42086,0.8294,0.69714,0.75542,0.41827,1.54288,1.46427,1.66157,0.000346389,0.000346389,0.000346389
143,102.985,1.33017,1.22643,1.47712,0.8625,0.69098,0.75887,0.42345,1.56398,1.44509,1.67297,0.000336086,0.000336086,0.000336086
144,103.541,1.33383,1.22008,1.43438,0.8625,0.69098,0.75887,0.42345,1.56398,1.44509,1.67297,0.000325907,0.000325907,0.000325907
145,104.109,1.38294,1.29089,1.50087,0.82504,0.70704,0.75376,0.43438,1.54579,1.43168,1.66354,0.000315855,0.000315855,0.000315855
146,104.701,1.28968,1.1919,1.42082,0.82504,0.70704,0.75376,0.43438,1.54579,1.43168,1.66354,0.000305933,0.000305933,0.000305933
147,112.542,1.31481,1.22186,1.42275,0.81845,0.71103,0.75342,0.44347,1.50765,1.41887,1.64014,0.000296144,0.000296144,0.000296144
148,113.11,1.35711,1.19901,1.41941,0.78856,0.70209,0.74937,0.43576,1.49609,1.42038,1.6234,0.000286489,0.000286489,0.000286489
149,113.673,1.34761,1.21184,1.38541,0.78856,0.70209,0.74937,0.43576,1.49609,1.42038,1.6234,0.000276971,0.000276971,0.000276971
150,114.382,1.40024,1.28036,1.47475,0.78259,0.70704,0.75805,0.43663,1.51273,1.43728,1.62742,0.000267592,0.000267592,0.000267592
151,114.941,1.43392,1.3252,1.55313,0.79082,0.69545,0.75894,0.42906,1.54498,1.45048,1.64378,0.000258355,0.000258355,0.000258355
152,115.545,1.31598,1.20626,1.42003,0.79082,0.69545,0.75894,0.42906,1.54498,1.45048,1.64378,0.000249262,0.000249262,0.000249262
153,116.116,1.29013,1.16991,1.38727,0.79555,0.70825,0.75583,0.42685,1.55745,1.4538,1.65359,0.000240316,0.000240316,0.000240316
154,116.662,1.25387,1.24077,1.40096,0.79555,0.70825,0.75583,0.42685,1.55745,1.4538,1.65359,0.000231517,0.000231517,0.000231517
155,117.226,1.24726,1.14036,1.37485,0.81017,0.72552,0.75877,0.44311,1.46907,1.40472,1.60705,0.00022287,0.00022287,0.00022287
156,117.827,1.25024,1.13599,1.38992,0.83893,0.72552,0.76782,0.45838,1.42755,1.38169,1.58382,0.000214375,0.000214375,0.000214375
157,118.393,1.33205,1.18702,1.42765,0.83893,0.72552,0.76782,0.45838,1.42755,1.38169,1.58382,0.000206034,0.000206034,0.000206034
158,118.959,1.30082,1.17598,1.39296,0.82162,0.68948,0.7641,0.46641,1.40978,1.35705,1.56974,0.000197851,0.000197851,0.000197851
159,119.725,1.29157,1.18312,1.4263,0.81141,0.7168,0.76289,0.4624,1.41473,1.35868,1.57058,0.000189827,0.000189827,0.000189827
160,120.275,1.35679,1.23921,1.50949,0.81141,0.7168,0.76289,0.4624,1.41473,1.35868,1.57058,0.000181963,0.000181963,0.000181963
